subject,eye,session,trial,n_responses,location,bs_flag,LR,RL,TB,BT,illu_x,illu_y,last_x,last_y
SV009,L,SV009_L_na_AV,1,3,7,0,0,0,1,0,2869,1293,2875,1380
SV009,L,SV009_L_na_AV,2,3,1,1,1,0,0,0,943,1140,1025,1143
SV009,L,SV009_L_na_AV,3,3,2,1,0,1,0,0,1010,1146,951,1145
SV009,L,SV009_L_na_AV,4,3,16,0,0,0,0,1,2847,1135,2845,1003
SV009,L,SV009_L_na_AV,5,3,6,0,0,1,0,0,2799,1257,2668,1259
SV009,L,SV009_L_na_AV,6,3,13,0,1,0,0,0,2583,1265,2995,1260
SV009,L,SV009_L_na_AV,7,3,9,1,1,0,0,0,820,1143,849,1147
SV009,L,SV009_L_na_AV,8,3,12,1,0,0,0,1,906,1072,904,999
SV009,R,SV009_R_na_AV,1,3,16,0,0,0,0,1,873,1006,879,895
SV009,R,SV009_R_na_AV,2,3,5,0,1,0,0,0,1017,1155,1108,1154
SV009,R,SV009_R_na_AV,3,3,12,1,0,0,0,1,2844,1111,2843,1001
SV009,R,SV009_R_na_AV,4,3,7,0,0,0,1,0,882,1204,875,1308
SV009,R,SV009_R_na_AV,5,3,2,1,0,1,0,0,2626,1262,2565,1267
SV009,R,SV009_R_na_AV,6,3,16,0,0,0,0,1,896,1119,883,866
SV009,R,SV009_R_na_AV,7,3,12,1,0,0,0,1,2828,1131,2817,1015
SV009,R,SV009_R_na_AV,8,3,4,1,0,0,0,1,2835,1138,2838,1034
SV012,L,SV012_L_na_AV,1,3,12,1,0,0,0,1,888,990,885,905
SV012,L,SV012_L_na_AV,2,3,8,0,0,0,0,1,2963,1134,2979,963
SV012,L,SV012_L_na_AV,3,3,13,0,1,0,0,0,2912,1053,3057,1050
SV012,L,SV012_L_na_AV,4,3,9,1,1,0,0,0,954,1166,1138,1148
SV012,L,SV012_L_na_AV,7,3,14,0,0,1,0,0,2971,1056,2855,1076
SV012,L,SV012_L_na_AV,8,3,7,0,0,0,1,0,2988,1058,3003,1358
SV012,R,SV012_R_na_AV,1,3,5,0,1,0,0,0,891,1178,1145,1151
SV012,R,SV012_R_na_AV,3,3,7,0,0,0,1,0,837,1149,850,1568
SV012,R,SV012_R_na_AV,4,3,2,1,0,1,0,0,2894,1095,2718,1066
SV012,R,SV012_R_na_AV,5,3,15,0,0,0,1,0,788,1152,781,1501
SV012,R,SV012_R_na_AV,6,3,12,1,0,0,0,1,2934,1129,2941,897
SV012,R,SV012_R_na_AV,7,3,4,1,0,0,0,1,2947,1170,2947,1002
SV012,R,SV012_R_na_AV,8,3,14,0,0,1,0,0,860,1166,614,1177
SV026,L,SV026_L_na_AV,1,3,15,0,0,0,1,0,2923,1187,2952,1353
SV026,L,SV026_L_na_AV,2,3,12,1,0,0,0,1,855,1268,881,1092
SV026,L,SV026_L_na_AV,3,3,4,1,0,0,0,1,886,1209,897,1080
SV026,L,SV026_L_na_AV,4,3,15,0,0,0,1,0,2931,1182,2946,1338
SV026,L,SV026_L_na_AV,5,3,12,1,0,0,0,1,922,1257,911,1048
SV026,L,SV026_L_na_AV,6,3,5,0,1,0,0,0,2993,1203,3204,1233
SV026,L,SV026_L_na_AV,7,3,2,1,0,1,0,0,1003,1253,892,1249
SV026,L,SV026_L_na_AV,8,3,5,0,1,0,0,0,2937,1255,3154,1242
SV026,R,SV026_R_na_AV,1,3,6,0,0,1,0,0,919,1238,750,1232
SV026,R,SV026_R_na_AV,2,3,1,1,1,0,0,0,2879,1230,3137,1224
SV026,R,SV026_R_na_AV,3,3,12,1,0,0,0,1,2932,1371,2929,1183
SV026,R,SV026_R_na_AV,4,3,16,0,0,0,0,1,903,1212,915,1031
SV026,R,SV026_R_na_AV,5,3,9,1,1,0,0,0,2933,1262,3140,1242
SV026,R,SV026_R_na_AV,6,3,7,0,0,0,1,0,914,1189,895,1390
SV026,R,SV026_R_na_AV,7,3,15,0,0,0,1,0,889,1190,867,1349
SV026,R,SV026_R_na_AV,8,3,2,1,0,1,0,0,2855,1226,2517,1238
SV027,L,SV027_L_na_AV,1,3,5,0,1,0,0,0,2873,1263,2909,1257
SV027,L,SV027_L_na_AV,3,3,9,1,1,0,0,0,839,1066,869,1063
SV027,L,SV027_L_na_AV,4,3,1,1,1,0,0,0,834,1049,866,1052
SV027,L,SV027_L_na_AV,5,3,10,1,0,1,0,0,989,1069,945,1071
SV027,L,SV027_L_na_AV,6,3,1,1,1,0,0,0,852,1073,894,1071
SV027,R,SV027_R_na_AV,1,3,9,1,1,0,0,0,3228,1314,3242,1336
SV027,R,SV027_R_na_AV,2,3,15,0,0,0,1,0,842,1018,853,1063
SV027,R,SV027_R_na_AV,3,3,16,0,0,0,0,1,869,1141,862,1068
SV027,R,SV027_R_na_AV,4,3,12,1,0,0,0,1,2983,1255,2985,1225
SV027,R,SV027_R_na_AV,5,3,2,1,0,1,0,0,3032,1257,2989,1257
SV027,R,SV027_R_na_AV,6,3,6,0,0,1,0,0,953,1068,874,1070
SV027,R,SV027_R_na_AV,7,3,5,0,1,0,0,0,880,1060,941,1057
SV027,R,SV027_R_na_AV,8,3,1,1,1,0,0,0,2768,1249,2901,1254
SV028,R,SV028_R_na_AV,1,3,13,0,1,0,0,0,1018,1105,1108,1100
SV029,R,SV029_R_na_AV,1,3,7,0,0,0,1,0,918,1350,905,1499
SV029,R,SV029_R_na_AV,6,3,16,0,0,0,0,1,886,1248,897,1091
SV030,L,SV030_L_without_AV,1,3,15,0,0,0,1,0,2922,877,2930,1057
SV030,L,SV030_L_without_AV,2,3,9,1,1,0,0,0,888,1141,1097,1137
SV030,L,SV030_L_without_AV,3,3,5,0,1,0,0,0,2806,1112,2988,1115
SV030,L,SV030_L_without_AV,4,3,14,0,0,1,0,0,2988,1114,2794,1120
SV030,L,SV030_L_without_AV,5,3,7,0,0,0,1,0,2955,1047,2981,1166
SV030,L,SV030_L_without_AV,6,3,4,1,0,0,0,1,1041,1195,1014,1030
SV030,L,SV030_L_without_AV,7,3,4,1,0,0,0,1,986,1172,980,1041
SV030,L,SV030_L_without_AV,8,3,12,1,0,0,0,1,987,1216,982,1040
SV030,R,SV030_R_without_AV,1,3,4,1,0,0,0,1,2882,1178,2880,980
SV030,R,SV030_R_without_AV,2,3,4,1,0,0,0,1,2919,1198,2908,1014
SV030,R,SV030_R_without_AV,3,3,7,0,0,0,1,0,965,1071,969,1270
SV030,R,SV030_R_without_AV,4,3,16,0,0,0,0,1,981,1198,985,1028
SV030,R,SV030_R_without_AV,5,3,7,0,0,0,1,0,969,1117,940,1299
SV030,R,SV030_R_without_AV,6,3,11,1,0,0,1,0,2861,1078,2860,1273
SV030,R,SV030_R_without_AV,7,3,14,0,0,1,0,0,1026,1144,834,1145
SV030,R,SV030_R_without_AV,8,3,10,1,0,1,0,0,2909,1101,2639,1107
SV031,L,SV031_L_without_AV,1,3,4,1,0,0,0,1,913,1315,902,1069
SV031,L,SV031_L_without_AV,2,3,5,0,1,0,0,0,2856,1184,3256,1186
SV031,L,SV031_L_without_AV,3,3,13,0,1,0,0,0,2831,1206,3111,1203
SV031,L,SV031_L_without_AV,4,3,12,1,0,0,0,1,925,1330,907,1073
SV031,L,SV031_L_without_AV,5,3,4,1,0,0,0,1,923,1353,912,1178
SV031,L,SV031_L_without_AV,6,3,12,1,0,0,0,1,1024,1330,1003,1156
SV031,L,SV031_L_without_AV,7,3,14,0,0,1,0,0,3067,1302,2737,1310
SV031,L,SV031_L_without_AV,8,3,5,0,1,0,0,0,2924,1189,3321,1164
SV031,R,SV031_R_without_AV,1,3,7,0,0,0,1,0,856,1136,850,1314
SV031,R,SV031_R_without_AV,2,3,13,0,1,0,0,0,1083,1262,1294,1268
SV031,R,SV031_R_without_AV,3,3,3,1,0,0,1,0,3018,1122,2981,1355
SV031,R,SV031_R_without_AV,4,3,11,1,0,0,1,0,3076,1248,3045,1488
SV031,R,SV031_R_without_AV,5,3,3,1,0,0,1,0,3045,1204,3048,1449
SV031,R,SV031_R_without_AV,6,3,12,1,0,0,0,1,2964,1225,2941,906
SV031,R,SV031_R_without_AV,7,3,13,0,1,0,0,0,1014,1272,1158,1253
SV031,R,SV031_R_without_AV,8,3,5,0,1,0,0,0,1193,1212,1363,1240
SV032,L,SV032_L_with_AV,1,3,13,0,1,0,0,0,2859,1197,2987,1198
SV032,R,SV032_R_with_AV,1,3,7,0,0,0,1,0,964,1148,958,1254
SV032,R,SV032_R_with_AV,2,3,13,0,1,0,0,0,937,1178,1050,1169
SV032,R,SV032_R_with_AV,7,3,13,0,1,0,0,0,976,1176,1122,1173
SV033,L,SV033_L_with_AV,1,3,8,0,0,0,0,1,2924,1254,2923,1122
SV033,L,SV033_L_with_AV,2,3,10,1,0,1,0,0,1266,1120,1157,1090
SV033,L,SV033_L_with_AV,3,3,8,0,0,0,0,1,2936,1263,2936,1154
SV033,L,SV033_L_with_AV,4,3,2,1,0,1,0,0,855,1130,710,1150
SV033,L,SV033_L_with_AV,5,3,4,1,0,0,0,1,762,1209,782,986
SV033,L,SV033_L_with_AV,6,3,15,0,0,0,1,0,2963,1180,2977,1411
SV033,L,SV033_L_with_AV,7,3,11,1,0,0,1,0,765,1069,768,1288
SV033,L,SV033_L_with_AV,8,3,14,0,0,1,0,0,2984,1157,2847,1193
SV033,R,SV033_R_with_AV,1,3,10,1,0,1,0,0,3150,1085,3121,890
SV033,R,SV033_R_with_AV,2,3,15,0,0,0,1,0,714,1138,754,1416
SV033,R,SV033_R_with_AV,3,3,8,0,0,0,0,1,678,1076,650,784
SV033,R,SV033_R_with_AV,4,3,4,1,0,0,0,1,2993,1097,3037,834
SV033,R,SV033_R_with_AV,5,3,8,0,0,0,0,1,623,1137,642,975
SV033,R,SV033_R_with_AV,6,3,12,1,0,0,0,1,2893,1149,2878,1009
SV033,R,SV033_R_with_AV,7,3,2,1,0,1,0,0,2912,1191,2552,1190
SV033,R,SV033_R_with_AV,8,3,15,0,0,0,1,0,849,1125,866,1401
